unit;;;01.01.2023;;;;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kWh/l];[kgCO2e/l];[kgCO2e/l];;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];[g co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[km];[km];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];[kg CO2e];;[kg CO2e];;;[kg CO2e];;;;
Quelle;;;FZ27.11,KBA;;;;;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN;DIN ;DIN ;;DIN ;DIN ;DIN ;;;;DIN ;DIN ;DIN ;;;BA IFKM ;eigene Umrechnung;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;Klimapfade 2.0 ;;Klimapfade 2.0 ;;;Klimapfade 2.0 ;;;;
description;;;;;icev+hev are one class;;;;;;;;;;;;;;;;;;;;an Gesamt Benzin;eigene Berechnung;;;;eigene Berechnung;;;;;;eigene Berechnung;;;;;;1kWh=3,6 MJ;;;;;;2,686 kg co2e/l;;;;;;;;;;;;;;referenzpfad 2030 * 0,68;;;referenzpfad 2030 * 0,68;;;;
vehicle_class;segments;used_model;vehicle_stock;shareontotalvehicles;share_on_total_vehicles_of_class;share_of_2022;total_number_of_cars_in_class;copy_share_on_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine_bestcase;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;energy_E5_kWh;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;energy_E10_kWh;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;share_D7_totaldiesel;energy_diesel_kWh;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;co2e_hvo_WtW_kwh;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;range_wltp;range_wltp_city;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;new_emission_targets_germany_2030_fleet;co2e_2025;emission_target_2030;co2e_2035;co2e_2040;emission_target_2045;co2e_2050;emission_target_de_30;emission_target_de_40;emission_target_de_45
bev;obereMittelklasse;i4;25393,24;0,000541916;;0,003174155;8000000,00;0,003174155;2125;2050;419,5;1630,5;0;1630,5;13739;battery;0;16,3;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;584;;83,9;250;0;50;27;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
bev;Oberklasse;Taycan;191371,55;0,004084049;;0,023921443;8000000,00;0,023921443;2125;2050;396;1654;0;1654;13739;battery;0;20,3;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;432;451;79,2;300;0;50;27;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
bev;SUV;ModelY;2241140,39;0,047828052;;0,280142549;8000000,00;0,280142549;1984;1909;475;1434;0;1434;13739;battery;0;15,7;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;455;;62;220;0;50;27;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
bev;Gel‰ndewagen;Q8;267527,42;0,005709288;;0,033440927;8000000,00;0,033440927;2585;2510;475;2035;0;2035;13739;battery;0;20,3;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;488;;95;200;200;50;27;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
bev;Sportwagen;not available ;278,26;5,93834E-06;;3,47825E-05;8000000,00;3,47825E-05;0;0;0;0;0;0;13739;battery;0;0;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
bev;MiniVan;Kiae-Soul;50738,78;0,001082814;;0,006342348;8000000,00;0,006342348;1610;1535;315;1220;0;1220;13739;battery;0;15,6;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;276;407;42;100;0;50;27;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
bev;GroﬂraumVans;pro ace city toyota ;27372,86;0,000584163;;0,003421608;8000000,00;0,003421608;1664;1589;250;1339;0;1339;13739;battery;0;19,4;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;284;425;50;100;0;50;27;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
bev;Utilities;e-Sprinter;78747,67;0,00168055;;0,009843459;8000000,00;0,009843459;2455;2380;205;2175;0;2175;13739;battery;0;33,9;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;120;;41;85;0;50;27;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
bev;Wohnwagen;not available ;500,87;1,0689E-05;;6,26086E-05;8000000,00;6,26086E-05;0;0;0;0;0;0;13739;battery;0;0;;6,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
lkw;MittelschwererLkwimVerteilverkehrICEDiesel;;;;;;;;12800;;;;;12800;50000;lkw_diesel;25,66;254;;3,365625;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
lkw;SchwererLKWimTransitverkehrICEDiesel;;;;;;;;14700;;;;;14700;50000;lkw_diesel;31,9;316;;3,458639456;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
lkw;MittelschwererLKWimurbanenVerteilerverkehrBEV-EEONC;;;;;;;;11300;;;;;11300;50000;lkw_battery;0;110;;6,954247788;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;270;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
lkw;MittelschwererLKWimurbanenVerteilerverkehrBEV-ATONC;;;;;;;;11300;;;;;11300;50000;lkw_battery;0;110;;6,954247788;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;270;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
lkw;SchwererLKWimTransitverkehrBEV-AT-OL;;;;;;;;13200;;;;;13200;50000;lkw_battery;0;155;;6,318257576;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;350;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
lkw;SchwererLKWimTransitverkehrBEV-EE-OL;;;;;;;;13200;;;;;13200;50000;lkw_battery;0;155;;6,318257576;;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;350;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
